Id,Gender,Acousticness,Danceability,Energy,instrumentalness,Liveness,tempo,Valence,Popularity,Likes_used,BIG5_Neuroticism_Likes,BIG5_Conscientiousness_Likes,BIG5_Extraversion_Likes,BIG5_Openness_Likes,BIG5_Agreeableness_Likes
1.02E+16,male,0.263,0.5539999999999999,0.561,0.033,0.212,116.559,0.475,54.63,10,0.3828024848876631,0.45243975447908386,0.3570140599722837,0.4635436032039166,0.40597480685154114
1.56E+15,female,0.157,0.5469999999999999,0.617,0.04,0.117,122.252,0.466,59.03,29,0.36319343410789995,0.4666908412601076,0.37410819061908207,0.5263102335652239,0.33311149770518167
1.53E+15,female,0.33799999999999997,0.5429999999999999,0.675,0.01,0.35700000000000004,129.802,0.5579999999999999,58.1,13,0.31507665836224785,0.5461157964391722,0.40959920951238254,0.4012119298738969,0.5685207940266347
2.05E+15,male,0.254,0.588,0.623,0.02,0.173,104.578,0.554,29.08,69,0.229170638,0.341092467,0.371942072,0.24638458,0.253106898
1.62E+15,male,0.177,0.331,0.658,0.36,0.215,116.734,0.211,34.4,123,0.133034141,0.096100652,0.060321787,0.854002625,0.319911973
1.70E+15,male,0.228,0.589,0.527,0.003,0.133,123.862,0.384,59.98,44,0.716323328,0.152169096,0.477803913,0.487900646,0.568105204
1.51E+15,male,0.191,0.552,0.633,0.034,0.119,120.225,0.457,57.83,32,0.240268014,0.578896123,0.293911912,0.315387584,0.735274459
1.62E+15,male,0.05,0.572,0.772,0.065,0.152,128.797,0.493,53.99,36,0.124955997,0.264752227,0.529458122,0.366260703,0.300365762
1.55E+15,female,0.153,0.428,0.651,0.024,0.179,122.803,0.423,58.09,97,0.301631027,0.224104517,0.419026019,0.558318798,0.541345932
1.64E+15,male,0.137,0.633,0.591,0.001,0.148,118.976,0.639,42.12,69,0.176168572,0.312264351,0.468096539,0.594671638,0.548062944
1.02E+16,female,0.32799999999999996,0.574,0.5820000000000001,0.03,0.168,119.413,0.5870000000000001,53.36,12,0.3377630958723711,0.4539411646092129,0.43278925197839313,0.4792260659457568,0.533961582683569
1.52E+15,female,0.327,0.488,0.594,0,0.247,125.891,0.463,53.89,103,0.438199838,0.17527368,0.131453477,0.458589416,0.176819146
1.02E+16,,0.266,0.5619999999999999,0.562,0.064,0.134,119.049,0.534,41.1,17,0.32223230613617354,0.6304239203542809,0.3775563352103591,0.4260910291446631,0.3396751847999329
2.02E+15,,0.115,0.417,0.665,0.024,0.154,123.776,0.434,63.3,37,0.332605824,0.457496225,0.472825152,0.487245424,0.091731507
1.02E+16,female,0.303,0.598,0.597,0.022000000000000002,0.182,119.927,0.57,44.99,12,0.356106871830835,0.31492357478054933,0.2951516382236723,0.5205739706152213,0.5765520398953792
2.01E+15,female,0.168,0.55,0.685,0.015,0.163,126.014,0.475,53.95,26,0.411501625439913,0.4732500626888154,0.4608526451215487,0.47671653499673433,0.47131136900691156
1.75E+15,male,0.29100000000000004,0.539,0.711,0.005,0.435,123.749,0.598,50.48,16,0.2568469460733258,0.4995100280402206,0.2994577378898966,0.41729352399319475,0.29211524995408467
7.73E+14,female,0.31,0.59,0.545,0.01,0.201,121.835,0.483,64.24,27,0.2784091285723902,0.4513760993555195,0.5726163457950444,0.36367728635026453,0.6617358028855027
1.50E+15,female,0.17,0.626,0.565,0.001,0.12,115.643,0.487,58.04,79,0.138312723,0.182363346,0.451834546,0.526860746,0.764190957
1.02E+16,female,0.452,0.584,0.498,0.0,0.316,123.086,0.488,51.33,10,0.39367815394723077,0.39153704195161193,0.3577487915099239,0.4205366838393885,0.48620629667659787
1.83E+15,male,0.228,0.47,0.6779999999999999,0.023,0.215,129.182,0.382,52.89,16,0.21463914121416322,0.601902716469604,0.3168314049823761,0.3570013685886315,0.37848067299913857
1.71E+15,male,0.136,0.545,0.712,0.052,0.169,127.525,0.522,58.08,372,0.001081258,0.890046248,0.78364599,0.029972249,0.237735274
1.61E+15,female,0.481,0.398,0.484,0.474,0.14,119.317,0.336,50.31,48,0.330269906,0.525680403,0.219804628,0.458907731,0.598334136
2.46E+15,male,0.313,0.459,0.571,0.05,0.182,120.383,0.338,50.55,121,0.187687727,0.114456369,0.452568749,0.746945263,0.119453178
1.63E+15,female,0.2,0.613,0.631,0.001,0.148,120.875,0.521,60.06,56,0.457739652,0.249218117,0.394228213,0.345856609,0.610947582
1.24E+15,female,0.212,0.568,0.5870000000000001,0.012,0.129,120.072,0.528,45.42,10,0.38437142439918215,0.48435742110159513,0.38664770494859574,0.42712053022481655,0.472555202405062
1.27E+15,male,0.15,0.571,0.652,0.052,0.155,122.363,0.427,62.64,37,0.205650995,0.594211043,0.389317244,0.27553726,0.493495209
1.58E+15,female,0.242,0.598,0.569,0.039,0.143,121.21,0.49,57.39,76,0.437658629,0.289060213,0.28041972,0.632537492,0.248321444
1.57E+15,male,0.44,0.477,0.507,0.018000000000000002,0.239,125.816,0.39299999999999996,37.24,10,0.32279263984362183,0.47023555992854854,0.4394405075468789,0.4628351083765823,0.5685818883984348
1.02E+16,male,0.187,0.531,0.652,0.013,0.259,127.875,0.502,45.96,109,0.288593166,0.810060626,0.39029966,0.290461396,0.290146831
1.72E+15,female,0.274,0.603,0.74,0.004,0.318,134.985,0.626,58.97,37,0.522607597,0.68325926,0.442240752,0.383059394,0.734559442
